Name,Type,Coeff,Unit,h2_dri_eaf,h2_dri,ng_dri_eaf,ng_dri,h2_eaf,ng_eaf
Dollar Year,all,-,-,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0
EAF & Casting,capital,lin,$,352191.5240169347,0.0,348441.8227127845,0.0,352191.5240169347,348441.8227127845
Shaft Furnace,capital,lin,$,489.68060552073365,498.40115875154777,12706.355407490113,12706.355407490113,0.0,0.0
Reformer,capital,lin,$,0.0,0.0,12585.824569411949,12585.824569411949,0.0,0.0
Recycle Compressor,capital,lin,$,0.0,0.0,956.7744259199679,956.7744259199679,0.0,0.0
Oxygen Supply,capital,lin,$,1715.215085611161,1364.5561234251998,1204.9890859896068,1024.5621894371275,393.830734201856,201.31538578766953
H2 Pre-heating,capital,lin,$,45.691227892080605,45.691227892080605,0.0,0.0,0.0,0.0
Cooling Tower,capital,lin,$,2513.0831352601786,2349.1522627637264,1790.403730600302,1774.6459078323237,195.45026173489762,428.9072339379995
Piping,capital,lin,$,11815.727185704474,172.83401368816038,25651.75658705922,3917.3482323408716,49970.896628346374,51294.53419198639
Electrical & Instrumentation,capital,lin,$,7877.151460414222,115.2226758287705,17101.171070383716,2611.5654909389796,33313.93113452448,34196.35613320329
"Buildings, Storage, Water Service",capital,lin,$,1097.818759618822,630.5313008617607,1077.395528263029,618.8012346570433,467.28745875704124,458.5942936059208
Other Miscellaneous Cost,capital,lin,$,7877.151460414222,115.2226758287705,17101.171070383716,2611.5654909389796,32124.80020341787,34196.35613320329
EAF & Casting,capital,exp,-,0.4559999999420569,0.0,0.45599999989917644,0.0,0.4559999999420569,0.45599999989917644
Shaft Furnace,capital,exp,-,0.8874110806752251,0.8862693772994394,0.6540835087553862,0.6540835087553862,0.0,0.0
Reformer,capital,exp,-,0.0,0.0,0.6504523630280962,0.6504523630280962,0.0,0.0
Recycle Compressor,capital,exp,-,0.0,0.0,0.7100000000012103,0.7100000000012103,0.0,0.0
Oxygen Supply,capital,exp,-,0.6457441946722567,0.6342724916068043,0.6448555996459632,0.6370664161269126,0.6699999996017925,0.6699999991468173
H2 Pre-heating,capital,exp,-,0.8656365854575354,0.8656365854575354,0.0,0.0,0.0,0.0
Cooling Tower,capital,exp,-,0.6332532740097314,0.6286978709250868,0.6302820063981883,0.6308163319151877,0.6659797264431829,0.25999986981601025
Piping,capital,exp,-,0.5998309612457867,0.8331608480295306,0.564105631654867,0.6551154484929332,0.4619607653395522,0.4580718393560637
Electrical & Instrumentation,capital,exp,-,0.5998309612151187,0.8331608479997341,0.5641056316058707,0.6551154484197789,0.46196076523826685,0.45807183934973555
"Buildings, Storage, Water Service",capital,exp,-,0.7999999998942431,0.799999999982431,0.7999999998654106,0.7999999999666216,0.7999999997752504,0.799999999728853
Other Miscellaneous Cost,capital,exp,-,0.5998309612151187,0.8331608479997341,0.5641056316058707,0.6551154484197789,0.4638975364898228,0.45807183934973555
Preproduction,owner,lin,frac of TPC,0.02,0.02,0.02,0.02,0.02,0.02
Spare Parts,owner,lin,frac of TPC,0.005,0.005,0.005,0.005,0.005,0.005
"Initial Catalyst, Sorbent & Chemicals",owner,lin,frac of TPC,0.0,0.0,0.250835587,0.250835587,0.0,0.250835587
Land,owner,lin,frac of TPC,0.775,0.775,0.775,0.775,0.775,0.775
Other Owners's Costs,owner,lin,frac of TPC,0.15,0.15,0.15,0.15,0.15,0.15
Processing Steps,fixed opex,lin,-,29.0,14.5,29.0,14.5,14.5,14.5
% Skilled Labor,fixed opex,lin,%,35.0,35.0,35.0,35.0,35.0,35.0
% Unskilled Labor,fixed opex,lin,%,65.0,65.0,65.0,65.0,65.0,65.0
Annual Operating Labor Cost,fixed opex,lin,hr/day/step/(kg/day),4.42732,4.42732,4.42732,4.42732,4.42732,4.42732
Annual Operating Labor Cost,fixed opex,exp,-,0.25242,0.25242,0.25242,0.25242,0.25242,0.25242
Maintenance Labor Cost,fixed opex,lin,frac of TPC,0.00863,0.00637674,0.007877171,0.007877171,0.00225326,0.007877171
Administrative & Support Labor Cost,fixed opex,lin,frac of O&M labor,0.25,0.25,0.25,0.25,0.0,0.0
Property Tax & Insurance,fixed opex,lin,frac of TPC,0.02,0.02,0.02,0.02,0.0,0.0
Maintenance Materials,variable opex,lin,$/mtpy steel,7.72,2.394841843,8.82,3.72863263,5.325158157,5.09136737
