S_Mitarbeiter.Mitarbeiter;S_Adresse.AdressNr;S_Adresse.Name1;S_Adresse.Staat;S_Adresse.Ort;S_Adresse.Suchbegriff;S_Adresse.Selektion;S_Adresse.BriefAnrede;S_Adresse.Anrede;S_Adresse.Titel;S_Adresse.Vorname;S_Adresse.Name2;S_Adresse.Name3;S_Adresse.PLZ;S_Adresse.CityPrefix;S_Adresse.CityPostfix;S_Adresse.StreetPrefix;S_Adresse.Strasse;S_Adresse.StreetPostfix;S_Adresse.Hausnummer;S_Adresse.Bundesland;S_Adresse.PLZ_Postfach;S_Adresse.Postfach;S_Adresse.Telefonbuch;S_Adresse.EMail;S_Adresse.HomePage;S_Adresse.Handy;S_Adresse.Telefon;S_Adresse.AutoTelefon;S_Adresse.Telefax;S_Adresse.Telefon2;S_Adresse.Telefax2;S_Adresse.Longitude;S_Adresse.Latitude;S_Mitarbeiter.Suchbegriff;S_Mitarbeiter.aktiv;S_Mitarbeiter.Abteilung;S_Mitarbeiter.Telefon;S_Mitarbeiter.Geburtstag;S_Mitarbeiter.RessArt;S_Mitarbeiter.Ressource;S_Mitarbeiter.Lagerort;S_Mitarbeiter.StammKostenstelle;S_Mitarbeiter.uCW_Fahrer
0;0;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;0;0;;yes;;;?;0;;?;0;no
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Mitarbeiter;Employee;S_Mitarbeiter.Mitarbeiter;INTEGER;zzzzz9;
2;Adressnummer;Address Number;S_Adresse.AdressNr;INTEGER;zzzzzzz9;
3;Name;Name 1;S_Adresse.Name1;CHARACTER;x(80);
4;Staat;Country;S_Adresse.Staat;CHARACTER;x(3);
5;Ort;City;S_Adresse.Ort;CHARACTER;x(30);
6;Suchbegriff;Search Term;S_Adresse.Suchbegriff;CHARACTER;x(12);
7;Selektion;Selection;S_Adresse.Selektion;CHARACTER;x(20);
8;Briefanrede;Letter Salutation;S_Adresse.BriefAnrede;CHARACTER;x(50);
9;Anrede;Salutation;S_Adresse.Anrede;CHARACTER;x(30);
10;Titel;Title;S_Adresse.Titel;CHARACTER;x(50);
11;Vorname;First Name;S_Adresse.Vorname;CHARACTER;x(80);
12;Name 2;Name 2;S_Adresse.Name2;CHARACTER;x(80);
13;Name 3;Name 3;S_Adresse.Name3;CHARACTER;x(80);
14;Postleitzahl;ZIP Code;S_Adresse.PLZ;CHARACTER;x(10);
15;Prefix Ort;Prefix City;S_Adresse.CityPrefix;CHARACTER;x(40);
16;Postfix Ort;Postfix City;S_Adresse.CityPostfix;CHARACTER;x(40);
17;Prefix Straﬂe;Prefix Street;S_Adresse.StreetPrefix;CHARACTER;x(40);
18;Straﬂe;Street;S_Adresse.Strasse;CHARACTER;x(50);
19;Postfix Straﬂe;Postfix Street;S_Adresse.StreetPostfix;CHARACTER;x(40);
20;Hausnummer;Street Number;S_Adresse.Hausnummer;CHARACTER;x(12);
21;Bundesland;State;S_Adresse.Bundesland;CHARACTER;x(3);
22;PLZ Postfach;ZIP PO Box;S_Adresse.PLZ_Postfach;CHARACTER;x(10);
23;Postfach;PO Box;S_Adresse.Postfach;CHARACTER;x(30);
24;Telefonbuch;Manage Address in Central Telephone Book;S_Adresse.Telefonbuch;LOGICAL;ja/nein;
25;E-Mail;E-Mail;S_Adresse.EMail;CHARACTER;x(254);
26;Homepage;Homepage;S_Adresse.HomePage;CHARACTER;x(60);
27;Handy;Cell Phone;S_Adresse.Handy;CHARACTER;x(25);
28;Telefon;Telephone;S_Adresse.Telefon;CHARACTER;x(25);
29;Autotelefon;Car Phone;S_Adresse.AutoTelefon;CHARACTER;x(25);
30;Telefax;Fax;S_Adresse.Telefax;CHARACTER;x(25);
31;Telefon 2;Telephone 2;S_Adresse.Telefon2;CHARACTER;x(25);
32;Telefax 2;Fax 2;S_Adresse.Telefax2;CHARACTER;x(25);
33;L‰ngengrad;Longitude;S_Adresse.Longitude;DECIMAL;-zz9.9999999999;
34;Breitengrad;Latitude;S_Adresse.Latitude;DECIMAL;-zz9.9999999999;
35;Suchbegriff;Search Term;S_Mitarbeiter.Suchbegriff;CHARACTER;x(12);
36;aktiv;Active;S_Mitarbeiter.aktiv;LOGICAL;ja/nein;
37;Abteilung;Department;S_Mitarbeiter.Abteilung;CHARACTER;x(50);
38;Telefon;Telephone;S_Mitarbeiter.Telefon;CHARACTER;x(25);
39;Geburtstag;Birthday;S_Mitarbeiter.Geburtstag;DATE;99.99.9999;
40;Ressourcenart;Resource Category;S_Mitarbeiter.RessArt;INTEGER;99;
41;Ressource;Resource;S_Mitarbeiter.Ressource;CHARACTER;x(20);
42;Lagerort;Storage Area;S_Mitarbeiter.Lagerort;INTEGER;zzzzzzz9;
43;Stammkostenstelle;Master Cost Center;S_Mitarbeiter.StammKostenstelle;INTEGER;zzzzzzzz;
44;Fahrer;Driver;S_Mitarbeiter.uCW_Fahrer;LOGICAL;ja/nein;
