JBT_Activity.Tag;JBT_Activity.Ressource;JBT_Activity.Buchungstext;S_KoTraeger.Kostentraeger;JBT_Activity.Projekt;JBT_Activity.Projektvorgang;JBT_ProjectStr.PSC;JBT_Activity.Taetigkeit;JBT_Activity.Kostenart;JBT_Activity.Zeit;S_Kostenstelle.Kostenstelle;c_xxx_bezugsgroesse;JBT_Activity.TrKoArt
today;;;;;;;0;0;0;0;;0
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Tag;Day;JBT_Activity.Tag;DATE;99.99.9999;
2;Ressource;Resource;JBT_Activity.Ressource;CHARACTER;x(20);
3;Buchungstext;Posting Text;JBT_Activity.Buchungstext;CHARACTER;x(40);
4;Kostenträger;Cost Object;S_KoTraeger.Kostentraeger;CHARACTER;x(20);
5;Projekt;Project;JBT_Activity.Projekt;CHARACTER;x(20);
6;Projektvorgang;Project Task;JBT_Activity.Projektvorgang;CHARACTER;x(20);
7;PSC;Project Structure Code;JBT_ProjectStr.PSC;CHARACTER;x(60);
8;Tätigkeit;Activity;JBT_Activity.Taetigkeit;INTEGER;zzz9;
9;Kostenart;Cost Item;JBT_Activity.Kostenart;INTEGER;zzzzzzzz;
10;Zeit;Time;JBT_Activity.Zeit;DECIMAL;zzz,zz9.99;
11;Kostenstelle;Cost Center;S_Kostenstelle.Kostenstelle;INTEGER;zzzzzzz9;
12;keine Verwendung;;;;;
13;Kostenart KTr;Cost Item CObj;JBT_Activity.TrKoArt;INTEGER;zzzzzzzz;
