V_BELEGPOS.belegnummer;V_BELEGPOS.positionsnr;V_BELEGPOS.artikel;V_BELEGPOS.ArtVar;V_BELEGPOS.menge;V_BELEGPOS.mengeneinheit;V_BELEGPOS.lagerort;V_BELEGPOS.lieferbedingung;V_BELEGPOS.gewicht;V_BELEGPOS.gewichtverp;V_BELEGPOS.wunschtermin;V_BELEGPOS.liefertermin;V_BELEGPOS.transportzeit;V_BELEGPOS.zeiteinheit;V_BELEGPOS.bezeichnung1;V_BELEGPOS.bezeichnung2;V_BELEGPOS.bezeichnung3;V_BELEGPOS.bezeichnung4;V_BELEGPOS.einzelpreis;V_BELEGPOS.wert_rz_1;V_BELEGPOS.wert_rz_2;V_BELEGPOS.wert_rz_art_1;V_BELEGPOS.wert_rz_art_2;V_BELEGPOS.proz_rz_1;V_BELEGPOS.proz_rz_2;V_BELEGPOS.proz_rz_3;V_BELEGPOS.proz_rz_art_1;V_BELEGPOS.proz_rz_art_2;V_BELEGPOS.proz_rz_art_3;V_BelegPos.F_IgnoreITS;V_BelegPos.F_Regime;V_BelegPos.H_BackToStock;V_BelegPos.H_Cancelled;V_BelegPos.H_CancelledLine;V_BelegPos.H_Corrected;V_BelegPos.H_CorrectedLine;V_BelegPos.H_EKAER_TransType;V_BelegPos.P_Korrigiert;V_BelegPos.P_KorrigiertePos;V_BelegPos.P_LagerZurucklegen;V_BelegPos.P_Storniert;V_BelegPos.P_StorniertePos;V_BelegPos.USTax_Override;V_BelegPos.USTax_TaxableAmount5;V_BelegPos.USTax_TaxableAmount6;V_BelegPos.USTax_TaxableAmount1;V_BelegPos.USTax_TaxableAmount2;V_BelegPos.USTax_TaxableAmount3;V_BelegPos.USTax_TaxableAmount4;V_BelegPos.USTax_TaxAmount5;V_BelegPos.USTax_TaxAmount6;V_BelegPos.USTax_TaxAmount1;V_BelegPos.USTax_TaxAmount2;V_BelegPos.USTax_TaxAmount3;V_BelegPos.USTax_TaxAmount4;V_BelegPos.USTax_TaxBase;V_BelegPos.USTax_TaxFree;V_BelegPos.USTax_TaxRate5;V_BelegPos.USTax_TaxRate6;V_BelegPos.USTax_TaxRate1;V_BelegPos.USTax_TaxRate2;V_BelegPos.USTax_TaxRate3;V_BelegPos.USTax_TaxRate4
0;1;;;0;0;?;0;0;0;today;?;0;4;;;;;0;0;0;;;0;0;0;;;;no;0;yes;no;0;no;0;S;no;0;yes;no;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;0
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Belegnummer;Document Number;V_BELEGPOS.belegnummer;INTEGER;zzzzzzz9;
2;Position;Line;V_BELEGPOS.positionsnr;DECIMAL;zz9.9;
3;Teil;Part;V_BELEGPOS.artikel;CHARACTER;x(20);
4;Variante;Variant;V_BELEGPOS.ArtVar;CHARACTER;x(6);
5;Menge;Quantity;V_BELEGPOS.menge;DECIMAL;-zzz,zzz,zz9.999;
6;Mengeneinheit;Unit of Measure;V_BELEGPOS.mengeneinheit;INTEGER;zz9;
7;Lagerort;Storage Area;V_BELEGPOS.lagerort;INTEGER;zzzzzzz9;
8;Lieferbedingung;Terms of Delivery;V_BELEGPOS.lieferbedingung;INTEGER;zz9;
9;Gewicht;Weight;V_BELEGPOS.gewicht;DECIMAL;zzz,zz9.9999;
10;Verpackungsgewicht;Packaging Weight;V_BELEGPOS.gewichtverp;DECIMAL;zzz,zz9.9999;
11;Wunschtermin;Requested Date;V_BELEGPOS.wunschtermin;DATE;99.99.9999;
12;Liefertermin;Delivery Date;V_BELEGPOS.liefertermin;DATE;99.99.9999;
13;Transportzeit;Transport Time;V_BELEGPOS.transportzeit;INTEGER;zzzzz9;
14;Zeiteinheit tt;Time Unit;V_BELEGPOS.zeiteinheit;CHARACTER;9;
15;Bezeichnung1;Additional Description1;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
16;Bezeichnung2;Additional Description2;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
17;Bezeichnung3;Additional Description3;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
18;Bezeichnung4;Additional Description4;V_BELEGPOS.bezeichnung;CHARACTER;x(30);
19;Einzelpreis;Unit Price;V_BELEGPOS.einzelpreis;DECIMAL;z,zzz,zz9.99-;
20;wertm R/Z;Value Discount/Surcharge 1;V_BELEGPOS.wert_rz_1;DECIMAL;z,zzz,zz9.99-;
21;wertm R/Z 2;Value Discount/Surcharge 2;V_BELEGPOS.wert_rz_2;DECIMAL;z,zzz,zz9.99-;
22;wm Rab-/ZuArt;Type of Value Discount/Surcharge 1;V_BELEGPOS.wert_rz_art_1;CHARACTER;x(3);
23;wm Rab-/ZuArt 2;Type of Value Discount/Surcharge 2;V_BELEGPOS.wert_rz_art_2;CHARACTER;x(3);
24;% R/Z;Percentage Discount/Surcharge 1;V_BELEGPOS.proz_rz_1;DECIMAL;-z9.99%;
25;% R/Z 2;Percentage Discount/Surcharge 2;V_BELEGPOS.proz_rz_2;DECIMAL;-z9.99%;
