BS_Auspr.SMArt;BS_Auspr.SMLeiste;BS_Auspr.Merkmal;BS_Auspr.Auspr;BS_AusprSpr.Bezeichnung1;BS_AusprSpr.Bezeichnung2;BS_AusprSpr.Bezeichnung3;BS_AusprSpr.Bezeichnung4;c_XXXmmmauto;BS_Auspr.Ereignis
;;;;;;;;;?
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Merkmalsart;ClassSystem Type;BS_Auspr.SMArt;CHARACTER;x(3);
2;Merkmalsleiste;Classification System;BS_Auspr.SMLeiste;CHARACTER;x(8);
3;Merkmal;Feature;BS_Auspr.Merkmal;CHARACTER;x(6);
4;Ausprägung;Specification;BS_Auspr.Auspr;CHARACTER;x(20);
5;Bezeichnung1;Description Specification1;BS_AusprSpr.Bezeichnung;CHARACTER;x(60);
6;Bezeichnung2;Description Specification2;BS_AusprSpr.Bezeichnung;CHARACTER;x(60);
7;Bezeichnung3;Description Specification3;BS_AusprSpr.Bezeichnung;CHARACTER;x(60);
8;Bezeichnung4;Description Specification4;BS_AusprSpr.Bezeichnung;CHARACTER;x(60);
9;Automatically Create Feature;;;;;
10;Ereignis;Event;BS_Auspr.Ereignis;INTEGER;zz9;
